GENE	Sample1
ANKRD42	32
SOWAHA	6
ANKRD44	49
ANKRD45	21
ANKRD46	59
ANKRD49	16
ANKRD50	50
ANKRD52	91
ANKRD53	0
ANKRD54	25
ANKRD55	0
SOWAHB	5
SOWAHC	55
SOWAHD	7
ANKEF1	27
ANKRD6	15
ANKRD7	2
ANKRD9	17
ANKS1A	70
ANKS1B	62
ANKS3	22
ANKS4B	13
ANKS6	16
ANKZF1	69
ANLN	132
ANO10	49
ANO1	12
ANO2	1
ANO3	6
ANO4	33
ANO5	37
ANO6	170
ANO7	5
ANO8	47
ANO9	8
ANP32A	83
ANP32B	28
ANP32D	0
ANP32E	42
ANPEP	6
ANTXR1	117
ANTXR2	33
ANTXRL	0
ZFAND4	35
ANXA10	0
ANXA11	152
ANXA13	1
ANXA1	224
ANXA2	666
ANXA3	22
ANXA4	57
ANXA5	413
ANXA6	140
ANXA7	177
ANXA8L1	0
ANXA8	4
ANXA9	7
AOAH	37
AOC2	2
AOC3	7
AOX1	11
AP1AR	42
AP1B1	395
AP1G1	145
AP1G2	52
AP1M1	52
AP1M2	39
AP1S1	40
AP1S2	106
AP1S3	43
AP2A1	159
AP2A2	130
AP2B1	250
AP2M1	200
AP2S1	48
AP3B1	131
AP3B2	17
AP3D1	217
AP3M1	132
AP3M2	57
AP3S1	43
AP3S2	127
AP4B1	19
AP4E1	45
AP4M1	16
AP4S1	8
APAF1	93
APBA1	63
APBA2	68
APBA3	9
APBB1IP	58
APBB1	98
APBB2	91
APBB3	27
APC2	139
APCDD1L	0
APCDD1	10
APCS	0
APC	484
APEH	88
APEX1	47
APEX2	20
APH1A	86
APH1B	58
API5	128
APIP	56
APITD1	8
APLF	14
APLNR	450
APLN	29
APLP1	234
APLP2	889
APOA1BP	41
APOA1	0
APOA2	0
APOA4	0
APOA5	0
APOBR	50
APOBEC1	0
APOBEC2	1
APOBEC3A	7
APOBEC3B	3
APOBEC3C	5
APOBEC3D	10
APOBEC3F	20
APOBEC3G	8
APOBEC3H	0
APOBEC4	2
APOB	10
APOC1P1	0
APOC1	662
APOC4-APOC2	97
APOC3	0
APOC4	4
APOD	744
APOE	4595
APOF	0
APOH	0
APOL1	52
APOL2	88
APOL3	16
APOL4	110
APOL5	0
APOL6	372
APOLD1	132
APOM	1
APOOL	39
APOO	17
APPBP2	88
APPL1	159
APPL2	71
APP	628
APRT	24
APTX	24
AQP10	0
AQP11	7
AQP12A	0
AQP12B	0
AQP1	213
AQP2	0
AQP3	74
AQP4	1498
AQP5	0
AQP6	7
AQP7	3
AQP8	0
AQP9	88
LVRN	0
AQR	86
ARAF	22
ARAP1	155
ARAP2	183
ARAP3	6
ARCN1	140
ARC	2
AREG	10
ARF1	330
ARF3	202
ARF4	157
ARF5	43
ARF6	116
ARFGAP1	68
ARFGAP2	73
ARFGAP3	81
ARFGEF1	253
ARFGEF2	265
ARFIP1	61
ARFIP2	57
ARFRP1	25
ARG1	3
ARG2	14
ARGFX	43
ARGLU1	286
ARHGAP10	54
ARHGAP11A	17
ARHGAP11B	5
ARHGAP12	177
ARHGAP15	32
ARHGAP17	55
ARHGAP18	82
ARHGAP19	33
ARHGAP1	109
ARHGAP20	13
ARHGAP21	677
ARHGAP22	25
ARHGAP23	91
ARHGAP24	37
ARHGAP25	50
ARHGAP26	129
ARHGAP27	37
ARHGAP28	21
ARHGAP29	192
ARHGAP30	104
ARHGAP31	105
ARHGAP32	121
ARHGAP33	7
ARHGAP36	3
ARHGAP39	33
ARHGAP42	30
ARHGAP4	32
ARHGAP5	562
ARHGAP6	6
ARHGAP8	45
ARHGAP9	27
ARHGDIA	113
ARHGDIB	88
ARHGDIG	11
ARHGEF10L	67
ARHGEF10	100
ARHGEF11	188
ARHGEF12	376
ARHGEF15	17
ARHGEF16	14
ARHGEF17	107
ARHGEF18	96
ARHGEF19	3
ARHGEF1	46
ARHGEF2	143
ARHGEF33	8
ARHGEF35	13
ARHGEF37	65
ARHGEF38	6
ARHGEF3	58
ARHGEF4	118
ARHGEF5	70
ARHGEF6	141
ARHGEF7	190
ARHGEF9	66
ARID1A	125
ARID1B	144
ARID2	85
ARID3A	8
ARID3B	35
ARID3C	0
ARID4A	63
ARID4B	143
ARID5A	43
ARID5B	247
ARIH1	188
ARIH2	86
ARL10	9
ARL11	17
ARL13A	0
ARL13B	16
ARL14	0
ARL15	17
ARL16	42
ARL17B	237
ARL1	97
ARL2BP	44
ARL2	52
ARL3	16
ARL4A	37
ARL4C	110
ARL4D	2
ARL5A	124
ARL5B	47
ARL5C	4
ARL6IP1	336
ARL6IP4	67
ARL6IP5	132
ARL6IP6	23
ARL6	16
ARL8A	54
ARL8B	211
ARL9	0
ARMC10	93
ARMC1	59
ARMC2	14
ARMC3	7
ARMC4	3
ARMC5	12
ARMC6	19
ARMC7	9
ARMC8	54
ARMC9	21
ARMCX1	38
ARMCX2	33
ARMCX3	102
ARMCX5	6
ARMCX6	61
ARMS2	1
ARNT2	181
ARNTL2	11
ARNTL	36
ARNT	71
ARPC1A	64
ARPC1B	99
ARPC2	173
ARPC3	270
ARPC4	102
