GENE	Sample1
ARFRP1	489
ARG1	2
ARG2	192
ARGFX	989
ARGLU1	6069
ARHGAP10	850
ARHGAP11A	555
ARHGAP11B	264
ARHGAP12	2220
ARHGAP15	252
ARHGAP17	1523
ARHGAP18	1007
ARHGAP19	660
ARHGAP1	1301
ARHGAP20	170
ARHGAP21	3051
ARHGAP22	30
ARHGAP23	321
ARHGAP24	253
ARHGAP25	150
ARHGAP26	4572
ARHGAP27	607
ARHGAP28	639
ARHGAP29	6411
ARHGAP30	454
ARHGAP31	974
ARHGAP32	2855
ARHGAP33	256
ARHGAP36	0
ARHGAP39	616
ARHGAP42	398
ARHGAP4	269
ARHGAP5	6825
ARHGAP6	216
ARHGAP8	1101
ARHGAP9	75
ARHGDIA	1613
ARHGDIB	1076
ARHGDIG	0
ARHGEF10L	978
ARHGEF10	1485
ARHGEF11	3116
ARHGEF12	6041
ARHGEF15	235
ARHGEF16	866
ARHGEF17	1118
ARHGEF18	860
ARHGEF19	285
ARHGEF1	1004
ARHGEF2	3580
ARHGEF33	258
ARHGEF35	2345
ARHGEF37	1494
ARHGEF38	3308
ARHGEF3	1116
ARHGEF4	322
ARHGEF5	4232
ARHGEF6	1311
ARHGEF7	2673
ARHGEF9	680
ARID1A	4004
ARID1B	3084
ARID2	3800
ARID3A	108
ARID3B	537
ARID3C	4
ARID4A	1252
ARID4B	6083
ARID5A	598
ARID5B	6331
ARIH1	3206
ARIH2	2636
ARL10	357
ARL11	349
ARL13A	44
ARL13B	525
ARL14	4
ARL15	666
ARL16	787
ARL17B	5383
ARL1	2477
ARL2BP	410
ARL2	504
ARL3	141
ARL4A	727
ARL4C	242
ARL4D	114
ARL5A	1461
ARL5B	884
ARL5C	110
ARL6IP1	4267
ARL6IP4	1329
ARL6IP5	2064
ARL6IP6	376
ARL6	151
ARL8A	569
ARL8B	2347
ARL9	13
ARMC10	2130
ARMC1	730
ARMC2	190
ARMC3	123
ARMC4	87
ARMC5	420
ARMC6	327
ARMC7	114
ARMC8	1116
ARMC9	987
ARMCX1	110
ARMCX2	1613
ARMCX3	2866
ARMCX5	440
ARMCX6	961
ARMS2	0
ARNT2	1453
ARNTL2	94
ARNTL	649
ARNT	2412
ARPC1A	1410
ARPC1B	1650
ARPC2	1427
